episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.5667,47.24,32,8,0,164.36,0,None
1,2,LOW,NO_OP,100.0,100.0,1.5377,47.24,32,8,0,164.12,0,None
1,3,LOW,NO_OP,100.0,100.0,1.6912,47.26,32,8,0,123.39,0,None
1,4,LOW,NO_OP,100.0,100.0,1.9477,47.22,26,8,0,103.56,1,"[MED  ] Coordinated Spoof -> 6 sats: ['GPS BIIR-13 (PRN 02)', 'GPS BIIR-8  (PRN 16)', 'GPS BIII-7  (PRN 01)', 'GPS BIIR-5  (PRN 22)', 'GPS BIIF-6  (PRN 06)', 'GPS BIIF-11 (PRN 10)']"
1,5,LOW,NO_OP,98.81,82.14,5.5943,47.23,21,8,0,11.33,1,"[MED  ] Coordinated Spoof -> 5 sats: ['GPS BIIF-4  (PRN 27)', 'GPS BIIR-11 (PRN 19)', 'GPS BIII-6  (PRN 28)', 'GPS BIII-1  (PRN 04)', 'GPS BIIF-8  (PRN 03)']"
1,6,LOW,NO_OP,94.05,89.29,9.0926,47.19,15,8,0,-193.48,1,"[MED  ] Coordinated Spoof -> 6 sats: ['GPS BIIRM-8 (PRN 05)', 'GPS BIII-3  (PRN 23)', 'GPS BIIRM-4 (PRN 15)', 'GPS BIII-8  (PRN 21)', 'GPS BIII-4  (PRN 14)', 'GPS BIIF-9  (PRN 26)']"
1,7,LOW,NO_OP,90.48,83.33,13.2446,47.24,15,8,0,-249.1,0,None
1,8,LOW,NO_OP,100.0,98.81,2.8547,47.24,21,8,0,203.58,0,None
1,9,LOW,NO_OP,100.0,100.0,1.9272,47.26,26,8,0,149.77,0,None
1,10,LOW,NO_OP,100.0,100.0,1.5093,47.23,32,8,0,166.49,0,None
1,11,LOW,NO_OP,100.0,100.0,1.5278,47.23,32,8,0,123.93,0,None
1,12,LOW,NO_OP,100.0,100.0,1.687,47.26,32,8,0,123.36,0,None
1,13,LOW,NO_OP,100.0,100.0,1.6464,47.23,32,8,0,164.16,0,None
1,14,LOW,NO_OP,100.0,100.0,1.7888,47.22,26,8,0,105.64,1,[HIGH ] Orbital Plane 0 -> 6 sats disabled
