episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.5462,47.24,32,8,0,120.0,0,None
1,2,LOW,NO_OP,100.0,100.0,1.6467,47.26,32,8,0,120.0,0,None
1,3,LOW,NO_OP,100.0,100.0,1.6095,47.25,32,8,0,120.0,0,None
1,4,LOW,NO_OP,100.0,100.0,1.6609,47.24,31,8,0,-80.0,1,[LOW  ] Spoof -> ['GPS BIIRM-8 (PRN 05)']
1,5,LOW,NO_OP,100.0,100.0,1.6151,47.21,31,8,0,120.0,0,None
1,6,LOW,RETIRE_SATELLITE,100.0,100.0,1.6613,47.22,31,8,0,125.0,0,None
1,7,LOW,ACTIVATE_SPARE,100.0,100.0,1.8096,47.27,32,7,0,-55.0,0,None
1,8,LOW,NO_OP,100.0,100.0,1.5472,47.23,32,7,0,120.0,0,None
1,9,LOW,NO_OP,100.0,100.0,1.6144,47.24,31,7,0,-80.0,1,[LOW  ] Spoof -> ['GPS BIIF-8  (PRN 03)']
1,10,LOW,NO_OP,100.0,100.0,1.6089,47.24,31,7,0,120.0,0,None
1,11,LOW,NO_OP,100.0,100.0,1.8228,47.27,31,7,0,120.0,0,None
1,12,LOW,RETIRE_SATELLITE,100.0,100.0,1.7313,47.22,30,7,0,-75.0,1,[LOW  ] Spoof -> ['GPS BIIRM-2 (PRN 31)']
1,13,LOW,NO_OP,100.0,100.0,1.755,47.21,28,7,0,-80.0,1,"[LOW  ] Spoof -> ['GPS BIIRM-4 (PRN 15)', 'GPS BIII-5  (PRN 11)']"
1,14,LOW,RETIRE_SATELLITE,100.0,100.0,1.7202,47.21,28,7,0,125.0,0,None
1,15,LOW,NO_OP,100.0,100.0,2.2511,47.25,25,7,0,-80.0,1,"[LOW  ] Spoof -> ['GPS BIII-2  (PRN 18)', 'GPS BIIRM-3 (PRN 12)', 'GPS BIII-6  (PRN 28)']"
1,16,LOW,NO_OP,100.0,100.0,2.1632,47.24,25,7,0,120.0,0,None
1,17,LOW,NO_OP,100.0,100.0,1.9244,47.21,25,7,0,120.0,0,None
1,18,LOW,NO_OP,100.0,100.0,1.9019,47.18,25,7,0,120.0,0,None
1,19,LOW,ACTIVATE_SPARE,100.0,98.81,2.2951,47.22,26,6,0,45.0,0,None
1,20,LOW,NO_OP,100.0,98.81,2.6595,47.24,26,6,0,120.0,0,None
1,21,LOW,NO_OP,100.0,100.0,2.1472,47.26,26,6,0,120.0,0,None
1,22,LOW,ACTIVATE_SPARE,100.0,100.0,1.6984,47.23,27,5,0,45.0,0,None
1,23,LOW,NO_OP,100.0,100.0,1.83,47.25,27,5,0,120.0,0,None
1,24,LOW,NO_OP,100.0,100.0,2.1103,47.28,27,5,0,120.0,0,None
1,25,LOW,NO_OP,100.0,98.81,2.0266,47.25,27,5,0,120.0,0,None
1,26,LOW,NO_OP,100.0,100.0,1.7496,47.23,27,5,0,120.0,0,None
1,27,LOW,NO_OP,100.0,100.0,1.9044,47.27,26,5,0,-80.0,1,[LOW  ] Spoof -> ['GPS BIIR-11 (PRN 19)']
1,28,LOW,ACTIVATE_SPARE,100.0,100.0,2.4526,47.31,24,4,0,-155.0,1,"[LOW  ] Spoof -> ['GPS BIIF-4  (PRN 27)', 'GPS BIIRM-3 (PRN 12)', 'GPS BIII-9  (PRN 20)']"
1,29,LOW,NO_OP,100.0,100.0,2.0001,47.27,24,4,0,120.0,0,None
1,30,LOW,ACTIVATE_SPARE,100.0,100.0,1.8404,47.23,25,3,0,45.0,0,None
1,31,LOW,NO_OP,100.0,100.0,1.9669,47.19,25,3,0,120.0,0,None
1,32,LOW,NO_OP,100.0,97.62,2.8888,47.24,25,3,0,120.0,0,None
1,33,LOW,NO_OP,100.0,100.0,2.1808,47.21,25,3,0,120.0,0,None
1,34,LOW,NO_OP,100.0,100.0,2.0146,47.22,25,3,0,120.0,0,None
