episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.7001,47.25,30,8,0,117.1,1,"[LOW  ] Spoof -> ['GPS BIIRM-2 (PRN 31)', 'GPS BIII-6  (PRN 28)']"
1,2,LOW,NO_OP,100.0,100.0,1.6387,47.22,30,8,0,158.25,0,None
1,3,LOW,NO_OP,100.0,100.0,1.773,47.25,30,8,0,117.46,0,None
1,4,LOW,NO_OP,100.0,100.0,1.6312,47.25,32,8,0,164.88,0,None
1,5,LOW,NO_OP,100.0,100.0,1.9438,47.24,26,8,0,103.93,1,"[MED  ] Coordinated Spoof -> 6 sats: ['GPS BIII-1  (PRN 04)', 'GPS BIIF-3  (PRN 24)', 'GPS BIIF-8  (PRN 03)', 'GPS BIIF-1  (PRN 25)', 'GPS BIIRM-3 (PRN 12)', 'GPS BIIF-7  (PRN 09)']"
1,6,LOW,RETIRE_SATELLITE,100.0,96.43,46.2871,47.2,20,8,0,-629.65,1,"[MED  ] Coordinated Spoof -> 6 sats: ['GPS BIIR-13 (PRN 02)', 'GPS BIIF-9  (PRN 26)', 'GPS BIII-4  (PRN 14)', 'GPS BIIRM-8 (PRN 05)', 'GPS BIII-8  (PRN 21)', 'GPS BIIF-4  (PRN 27)']"
1,7,LOW,NO_OP,100.0,95.24,2.984,47.23,20,8,0,140.0,0,None
1,8,LOW,NO_OP,100.0,98.81,3.1192,47.27,20,8,0,87.46,0,None
1,9,LOW,NO_OP,100.0,100.0,2.2978,47.23,25,8,0,147.05,0,None
1,10,LOW,NO_OP,100.0,100.0,1.5492,47.2,31,8,0,164.94,0,None
1,11,LOW,NO_OP,100.0,100.0,1.7175,47.24,31,8,0,120.33,0,None
1,12,LOW,ACTIVATE_SPARE,100.0,100.0,1.6799,47.26,32,7,0,100.85,0,None
1,13,LOW,NO_OP,100.0,100.0,1.6408,47.26,32,7,0,164.16,0,None
1,14,LOW,NO_OP,100.0,100.0,1.5091,47.23,32,7,0,164.53,0,None
1,15,LOW,NO_OP,100.0,100.0,1.5125,47.23,32,7,0,123.99,0,None
1,16,LOW,NO_OP,100.0,100.0,1.6719,47.25,32,7,0,123.36,0,None
1,17,LOW,LAUNCH_SATELLITE,100.0,100.0,1.672,47.23,32,7,1,159.5,0,None
1,18,LOW,NO_OP,100.0,100.0,1.5635,47.2,32,7,1,164.43,0,None
1,19,LOW,NO_OP,100.0,100.0,1.6096,47.21,32,7,1,123.82,0,None
1,20,LOW,NO_OP,100.0,100.0,1.6322,47.22,32,7,1,123.91,0,None
1,21,LOW,NO_OP,100.0,100.0,1.6411,47.23,32,7,1,123.96,0,None
1,22,LOW,NO_OP,100.0,100.0,1.5908,47.2,32,7,1,164.2,0,None
1,23,LOW,NO_OP,100.0,100.0,1.5803,47.21,32,8,0,164.04,0,None
1,24,LOW,NO_OP,100.0,100.0,1.7179,47.24,32,8,0,123.45,0,None
1,25,LOW,NO_OP,100.0,100.0,1.6041,44.31,32,8,0,164.46,1,"[HIGH ] Severe Jam @ (0.0, 30.0) (4 steps)"
1,26,LOW,NO_OP,100.0,100.0,1.649,44.76,32,8,0,123.82,0,None
1,27,LOW,NO_OP,100.0,100.0,1.5137,44.8,32,8,0,164.54,0,None
1,28,LOW,NO_OP,100.0,100.0,1.7639,44.75,32,8,0,123.0,0,None
1,29,LOW,NO_OP,100.0,100.0,1.9258,47.26,26,8,0,105.57,1,[HIGH ] Orbital Plane 0 -> 6 sats disabled
1,30,LOW,NO_OP,100.0,100.0,2.1023,44.23,26,8,0,105.29,1,"[HIGH ] Severe Jam @ (-60.0, 60.0) (4 steps)"
1,31,LOW,RETIRE_SATELLITE,100.0,100.0,1.8264,44.28,26,8,0,126.35,0,None
1,32,LOW,RETIRE_SATELLITE,100.0,100.0,1.8651,44.48,26,8,0,115.1,0,None
1,33,LOW,NO_OP,100.0,100.0,1.693,45.03,30,8,0,158.16,0,None
1,34,LOW,NO_OP,100.0,100.0,1.6618,45.02,30,8,0,158.12,1,"[HIGH ] Severe Jam @ (-90.0, -120.0) (4 steps)"
