episode,step,phase,action,coverage_pct,good_coverage_pct,avg_pdop,avg_cn0_dbhz,operational_sats,spares,pending_launches,step_reward,under_attack,attack_description
1,1,LOW,NO_OP,100.0,100.0,1.6092,47.23,32,8,0,0.05,0,None
1,2,LOW,NO_OP,100.0,100.0,1.5785,47.22,32,8,0,0.06,0,None
1,3,LOW,NO_OP,100.0,100.0,1.5799,47.22,32,8,0,-0.0,0,None
1,4,LOW,NO_OP,100.0,100.0,1.6562,47.24,32,8,0,-0.15,0,None
1,5,LOW,NO_OP,100.0,100.0,1.6092,47.25,32,8,0,0.09,0,None
1,6,LOW,NO_OP,100.0,100.0,1.5865,47.26,32,8,0,0.05,0,None
1,7,LOW,NO_OP,100.0,100.0,1.5641,47.26,32,8,0,0.04,0,None
1,8,LOW,NO_OP,100.0,100.0,1.6999,47.28,30,8,0,-10.27,1,"[LOW  ] Spoof -> ['GPS BIIR-5  (PRN 22)', 'GPS BIIF-3  (PRN 24)']"
1,9,LOW,RETIRE_SATELLITE,100.0,99.89,1.737,47.26,29,8,0,-5.07,1,[LOW  ] Spoof -> ['GPS BIIF-10 (PRN 08)']
1,10,LOW,NO_OP,100.0,100.0,1.7626,47.25,29,8,0,-0.05,0,None
1,11,LOW,NO_OP,100.0,100.0,1.7637,47.25,29,8,0,-0.0,0,None
1,12,LOW,NO_OP,100.0,100.0,1.8593,47.25,29,8,0,-0.19,0,None
1,13,LOW,NO_OP,100.0,100.0,1.8008,47.26,29,8,0,0.12,0,None
1,14,LOW,NO_OP,100.0,100.0,1.7398,47.25,29,8,0,0.12,0,None
1,15,LOW,ACTIVATE_SPARE,100.0,100.0,1.6945,47.25,29,7,0,-4.91,0,None
1,16,LOW,NO_OP,100.0,100.0,1.751,47.25,29,7,0,-0.11,0,None
1,17,LOW,NO_OP,100.0,100.0,1.8051,47.26,29,7,0,-0.11,0,None
1,18,LOW,NO_OP,100.0,100.0,1.7581,47.25,29,7,0,0.09,0,None
1,19,LOW,NO_OP,100.0,99.94,1.8136,47.25,28,7,0,-0.11,0,None
1,20,LOW,NO_OP,100.0,99.5,1.8012,47.25,28,7,0,0.02,0,None
1,21,LOW,NO_OP,100.0,100.0,1.8596,47.25,28,7,0,-0.12,0,None
1,22,LOW,ACTIVATE_SPARE,100.0,100.0,1.7578,47.23,29,6,0,-4.8,0,None
1,23,LOW,ACTIVATE_SPARE,100.0,100.0,1.7227,47.22,30,5,0,-4.93,0,None
1,24,LOW,ACTIVATE_SPARE,100.0,100.0,1.6618,47.23,31,4,0,-4.88,0,None
1,25,LOW,ACTIVATE_SPARE,100.0,100.0,1.662,47.23,32,3,0,5.0,0,None
1,26,LOW,LAUNCH_SATELLITE,100.0,100.0,1.6634,47.23,32,3,1,-10.0,0,None
1,27,LOW,NO_OP,100.0,100.0,1.5949,47.22,32,3,1,0.14,0,None
1,28,LOW,LAUNCH_SATELLITE,100.0,100.0,1.6125,47.22,32,3,2,-10.04,0,None
1,29,LOW,NO_OP,100.0,100.0,1.6357,47.23,32,3,2,-0.05,0,None
1,30,LOW,LAUNCH_SATELLITE,100.0,100.0,1.6705,47.25,32,3,3,-10.07,0,None
1,31,LOW,LAUNCH_SATELLITE,100.0,100.0,1.6429,47.26,32,3,4,-9.94,0,None
1,32,LOW,NO_OP,100.0,100.0,1.6388,47.27,31,4,3,0.01,1,[LOW  ] Spoof -> ['GPS BIIR-5  (PRN 22)']
1,33,LOW,RETIRE_SATELLITE,100.0,100.0,1.6225,47.27,31,4,3,-4.97,0,None
1,34,LOW,NO_OP,100.0,100.0,1.7445,47.26,30,5,2,-0.24,1,[LOW  ] Spoof -> ['GPS BIIF-8  (PRN 03)']
1,35,LOW,NO_OP,100.0,100.0,1.8115,47.25,30,5,2,-0.13,0,None
